Título,Título_URL,Imagen,Título1,jsx2858414180,copy10,Descuento,copy3,primary,jsx3425244783,jsx34252447832,Vista
GENERICO,https://www.falabella.com.co/falabella-co/product/129655809/Lubricante-Multiorgasmos-Caliente-+Sensibilidad-+-Placer-5ml/129655810,,Lubricante Multiorgasmos Caliente +Sensibilidad + Placer 5ml,Por Cero Tabuu ,$  17.000  ,,,$  17.000  ,,,
HEAD AND SHOULDERS,https://www.falabella.com.co/falabella-co/product/122877727/Shampoo-Head-Shoulders-Limpieza-Renovadora-X-375ml/122877728,,Shampoo Head & Shoulders Limpieza Renovadora X 375ml,Por Locatel Colombia ,$  25.400  ,,,$  25.400  ,,,
PRODEHOGAR,https://www.falabella.com.co/falabella-co/product/122879119/Organizador-cajonero-plastico-amplio-dubai-por-5-niveles-Gris-Rosado/122879122,,Organizador cajonero plastico amplio dubai por 5 niveles Gris-Rosado,Por Surti Bebe ,$  229.999  ,-23%,$  299.999  ,$  229.999  ,Envío gratis,,
GENERICO,https://www.falabella.com.co/falabella-co/product/122877451/Acondicionador-Neogen-Tratamiento-Anticaida-X-250ml/122877452,,Acondicionador Neogen Tratamiento Anticaida X 250ml,Por Locatel Colombia ,$  118.100  ,,,$  118.100  ,,,
BIODERMA,https://www.falabella.com.co/falabella-co/product/122877327/Protector-Solar-Bioderma-Nude-Touch-Spf50-Dorado/122877328,,Protector Solar Nude Touch Spf50 Dorado,Por Locatel Colombia ,$  125.000  ,,,$  125.000  ,,,(1)
TIO NACHO,https://www.falabella.com.co/falabella-co/product/122877579/Shampoo-Tio-Nacho-Anticaida-Engrosador-X-415ml/122877580,,Shampoo Anticaida Engrosador X 415ml,Por Locatel Colombia ,$  37.450  ,,,$  37.450  ,,,
NOVADERMA,https://www.falabella.com.co/falabella-co/product/122877804/Novaderma-Splendore-Champu-Fra-X-220-Ml/122877805,,Splendore Champu Fra X 220 Ml,Por Locatel Colombia ,$  93.750  ,,,$  93.750  ,,,
VOGUE,https://www.falabella.com.co/falabella-co/product/122879524/Esmalte-Vogue-Gel-Cartagena-X-14ml/122879526,,Esmalte Gel Cartagena X 14ml,Por Locatel Colombia ,$  9.300  ,,,$  9.300  ,,,(1)
SUNDOWN,https://www.falabella.com.co/falabella-co/product/122877339/Protector-Solar-Sundown-Kids-Fps60-X-120ml/122877340,,Protector Solar Kids Fps60 X 120ml,Por Locatel Colombia ,$  62.150  ,,,$  62.150  ,,,
MASGLO,https://www.falabella.com.co/falabella-co/product/122879377/Esmalte-Masglo-Brillo-Confianza-X-13.5ml/122879378,,Esmalte Brillo Confianza X 13.5ml,Por Locatel Colombia ,$  10.900  ,,,$  10.900  ,,,
FARPAG,https://www.falabella.com.co/falabella-co/product/122876601/Enjuague-Bucal-Odontrix-Nf-X-180ml/122876602,,Enjuague Bucal Odontrix Nf X 180ml,Por Locatel Colombia ,$  37.000  ,,,$  37.000  ,,,
PANTENE,https://www.falabella.com.co/falabella-co/product/122877677/Acondicionador-Pantene-Colageno-Nutre-Y-Revitaliza-X-250ml/122877678,,Acondicionador Colageno Nutre Y Revitaliza X 250ml,Por Locatel Colombia ,$  25.950  ,,,$  25.950  ,,,
CONVATEC,https://www.falabella.com.co/falabella-co/product/122877651/Gel-Hidratante-Saf-Gel-Convatec/122877652,,Gel Hidratante Saf Gel,Por Locatel Colombia ,$  122.450  ,,,$  122.450  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/122877555/Incentivo-Respiratorio-Spirometer-1pc/122877556,,Incentivo Respiratorio Spirometer 1pc,Por Locatel Colombia ,$  15.900  ,-20%,$  19.900  ,$  15.900  ,,,
AFELIUS,https://www.falabella.com.co/falabella-co/product/122877281/Protector-Solar-Afelius-100-Fluid-Color-X-50g/122877282,,Protector Solar 100 Fluid Color X 50g,Por Locatel Colombia ,$  134.400  ,,,$  134.400  ,,,
KATIVA,https://www.falabella.com.co/falabella-co/product/129938519/Tratamiento-Hyaluronic-Keratin-Q10-300ml/129938520?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_xR8vwUj7adl8iEPUmHxbaSgFpD4nEJsN8Vgk7NwY4tU_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2wRNIYcV22NWmYh4uBPwPtH6O_HiPBvqMc-nGPmfsmrq7jYv3hF7hbH6gmlaD285JHMzsFxEbs-R_-djz-9vFYSJYj7EGvR0YftiRGnuUq80w%253D%253D_ark196e4f4f5ec799ba42%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Tratamiento Hyaluronic Keratin Q10 300ml,Por Starbrands Colombia S.a.s ,$  45.900  ,,,$  45.900  ,,,
LOCCITANE,https://www.falabella.com.co/falabella-co/product/135828409/Perfume-para-mujer-Roll-On-Flor-de-Cerezo-Eau-de-Toilette-10ml/135828410?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_OhVYbTOMPYrvsj40azmUuTgtnHRZrRJjcnr3owmoDGg_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZX1l7p8FuaNtDIoywSzfgh2zZ2DjkHoZzonEwMkMipIvGx6ooZx4XHBNBMnyy3c6mMRkPuS94uYG4eyWqq4rfOVlmaLTy9wcnDUfJFdXNJ5iJYj7EGvR0YftiRGnuUq80w%253D%253D_ark196e4f4f5ec799ba42%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Perfume para mujer Roll On Flor de Cerezo Eau de Toilette 10ml,Por Provenzal Sas ,$  79.000  ,,,$  79.000  ,,,
