Título,Título_URL,Imagen,Título1,jsx2858414180,copy10,Descuento,copy3,primary,jsx3425244783,jsx34252447832,Vista
BODYCOLOGY,https://www.falabella.com.co/falabella-co/product/118527185/Splash-Bodycology-Coconut-Hibiscus-237ml/118527188,,Splash Coconut Hibiscus 237ml,Por Paris Success Sas ,$  44.555  ,,$  46.900  ,$  44.555  ,,,(2)
PAULA BY PAUTIPS,https://www.falabella.com.co/falabella-co/product/118527949/LABIAL-LIQUIDO-CAFE-MATTE-PAULA-BY-PAUTIPS/118527950,,LABIAL LIQUIDO CAFE MATTE,Por Parfumer,$  22.990  ,-30%,$  32.990  ,$  22.990  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/126915015/7-Colagenos-1000g-12.000mg-Citrus-Punch/126915017,,7 Colágenos 1000g 12.000mg Citrus Punch,Por Best Supps ,$  65.000  ,,,$  65.000  ,,,(4)
FUNAT,https://www.falabella.com.co/falabella-co/product/132919852/Aceite-de-Cannabis-100-puro-x10ml-Funat/132919853,,Aceite de Cannabis 100% puro x10ml -,Por Natural Store ,$  22.000  ,,,$  22.000  ,,,
FUNAT,https://www.falabella.com.co/falabella-co/product/132920453/Aceite-de-lavanda-10ml-funat/132920455,,Aceite de lavanda 10ml -,Por Natural Store ,$  29.900  ,,,$  29.900  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/132920973/Masajeador-Corporal-18-Ruedas-Rodillo-Muslos-Antebrazos-Anillo-Mano/132920974,,Masajeador Corporal 18 Ruedas Rodillo Muslos Antebrazos Anillo Mano,Por Vipxie.,$  39.900  ,-20%,$  49.900  ,$  39.900  ,,,
PHILIPS,https://www.falabella.com.co/falabella-co/product/140338241/Afeitadora-Electrica-Serie-1000-Wet-Dry-Philips-S1151-00/140338242,,Afeitadora Electrica Serie 1000 Wet & Dry S1151/00,Por Seller Group ,$  199.900  ,,$  230.000  ,$  199.900  ,Envío gratis,Llega mañana,
GENERICO,https://www.falabella.com.co/falabella-co/product/135630443/Tapete-Masaje-Electroestimulador-Circulacion-Pies-Relajante/135630444,,Tapete Masaje Electroestimulador Circulación Pies Relajante,Por Derocha Store ,$  14.900  ,,,$  14.900  ,Llega mañana,,(1)
TOCOBO,https://www.falabella.com.co/falabella-co/product/140362360/Juicy-Berry-Plumping-Lip-Oil-04-BITTER-BROWN/140362361,,Juicy Berry Plumping Lip Oil 04 BITTER BROWN,Por Kalon Skin Bar ,$  62.900  ,,$  69.900  ,$  62.900  ,,,
TOCOBO,https://www.falabella.com.co/falabella-co/product/140362384/Juicy-Berry-Plumping-Lip-Oil-03-BLACK-CHERRY/140362385,,Juicy Berry Plumping Lip Oil 03 BLACK CHERRY,Por Kalon Skin Bar ,$  62.900  ,,$  69.900  ,$  62.900  ,,,
CHANEL,https://www.falabella.com.co/falabella-co/product/prod12830027/CHANEL-ROUGE-COCO-BAUME-Balsamo-de-Labios-Hidratante/29765281,,ROUGE COCO BAUME Bálsamo de Labios Hidratante,Por Falabella,$  259.000  ,,,$  259.000  ,Llega mañana,Retira mañana,(3)
SHARK,"https://www.falabella.com.co/falabella-co/product/72780485/Multiestilizador-Shark-Flexstyle-Cabello-Rizado-5-accesorios-Seca,-Alisa-y-Ondula-HAD435/72780485?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_w75Rzb-m8_47cXzlEH48lAaeocdFo5H14TaqoW_c7mE_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XgiEXZrsOLeZo6e4klvwowZbSYgRmBQtqsSE59W9d1n7iva-xiRoPsGC_Fz5uZZGu4wr9f6WyBOF-EMdFPjrzEpy4J9-VNZkdHFIy2Ky3L1naw%253D%253D_ark196e4eaa59778f12ff%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D",,"Multiestilizador Flexstyle Cabello Rizado | 5 accesorios | Seca, Alisa y Ondula | HAD435",Por Falabella,$  999.900  ,-23%,$  1.299.900  ,$  999.900  ,Llega mañana,Retira mañana,(176)
VICHY,https://www.falabella.com.co/falabella-co/product/72971407/Tratamiento-para-el-contorno-de-ojos-Vichy-Para-Todo-tipo-de-piel-15ml/72971407?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_ZjdrBw-_WOeuk0pW1DxpO058cXMmwNlUmvj7nUKQy6k_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2zEY0Jh6Xswtn4P87Gqv7vqdk58oYAxCDameV9XxBpsH8zt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUs4J9-VNZkdHFIy2Ky3L1naw%253D%253D_ark196e4eaa59778f12ff%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Tratamiento para el contorno de ojos Para Todo tipo de piel 15ml,Por Falabella,$  153.990  ,-25%,$  205.900  ,$  153.990  ,Llega mañana,Retira mañana,(11)
CHANEL,https://www.falabella.com.co/falabella-co/product/29765293/N%C2%B0-1-DE-CHANEL-LOTION/29765293,,N° 1 DE LOTION,Por Falabella,$  378.000  ,,,$  378.000  ,Llega mañana,Retira mañana,(5)
MANZATO,https://www.falabella.com.co/falabella-co/product/121756148/Kit-de-mini-vinagres-X5-unidades/121756149,,Kit de mini vinagres X5 unidades,Por Manzato,$  44.100  ,,,$  44.100  ,,,(1)
PROSCIENCE,https://www.falabella.com.co/falabella-co/product/121756111/Smart-Gainer-Ultimate-Mass-Formula-Proteina-13-Lbs/121756114,,Smart Gainer Ultimate Mass Formula Proteina 13 Lbs,Por Cmarket,$  279.700  ,,$  320.000  ,$  279.700  ,Envío gratis,,
GENERICO,https://www.falabella.com.co/falabella-co/product/128751652/Maquina-de-afeitar-5-en-1-para-mujer/128751653,,Máquina de afeitar 5 en 1 para mujer,Por Supershop,$  75.000  ,,,$  75.000  ,Llega mañana,,
KAHAI,https://www.falabella.com.co/falabella-co/product/122206391/Kahai-Proteina-de-Cacay/122206394,,- Proteína de Cacay,Por Kahai,$  110.000  ,,,$  110.000  ,,,
CYZONE,https://www.falabella.com.co/falabella-co/product/140871842/splash-fragancia-taste-cool/140871843,,Splash fragancia taste cool,Por Tahana Store ,$  39.000  ,-19%,$  47.900  ,$  39.000  ,,,
ONE PIXEL,https://www.falabella.com.co/falabella-co/product/119387347/Depiladora-Laser-Profesional-Ipl-Blanco-ONE-PIXEL/119387349,,Depiladora Laser Profesional Ipl Blanco,Por 52 Bits ,$  89.900  ,-40%,$  149.900  ,$  89.900  ,Llega mañana,,
ONE PIXEL,https://www.falabella.com.co/falabella-co/product/122527946/Depiladora-Laser-Generica-Ipl-Blanco-Corporal-ONE-PIXEL/122527947,,Depiladora Laser Generica Ipl Blanco Corporal,Por 52 Bits ,$  89.900  ,-40%,$  149.900  ,$  89.900  ,Llega mañana,,(1)
SMARTMUSCLE,https://www.falabella.com.co/falabella-co/product/126513516/Proton-Gainer-Proteina-Hipercalorica-Smartmuscle-6lbs/126513517,,Proton Gainer Proteina Hipercalorica 6lbs,Por Tienda Naturista Miel Angelita ,$  149.900  ,,$  160.000  ,$  149.900  ,Envío gratis,,
ALFAPARF MILANO,https://www.falabella.com.co/falabella-co/product/143111949/Restructuring-Multiplier-Cellula-Madre-150-mL-Alfaparf/143111950,,Restructuring Multiplier Cellula Madre 150 mL Alfaparf,Por Ebeauty,$  84.250  ,,$  88.684  ,$  84.250  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/118194073/Tanga-francesa-en-encaje-para-mujer-Blanca/118194075,,Tanga francesa en encaje para mujer Blanca,Por Uniprol,$  13.000  ,,,$  13.000  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/122877387/Compresa-Kaz-Inteligente-Frio-Calor-Con-Velcro/122877388,,Compresa Kaz Inteligente Frio Calor Con Velcro,Por Locatel Colombia ,$  96.350  ,-20%,$  120.450  ,$  96.350  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/118194070/Tanga-francesa-en-encaje-para-mujer-Roja/118194071,,Tanga francesa en encaje para mujer Roja,Por Uniprol,$  13.000  ,,,$  13.000  ,,,
HEAD AND SHOULDERS,https://www.falabella.com.co/falabella-co/product/122877295/Shampoo-2en1-Head-Shoulders-Suave-Y-Manejable-X-700ml/122877296,,Shampoo 2en1 Head & Shoulders Suave Y Manejable X 700ml,Por Locatel Colombia ,$  41.500  ,,,$  41.500  ,,,(1)
SEN INTIMO,https://www.falabella.com.co/falabella-co/product/118194394/Crema-besable-sen-intimo-hot-cherry-x-30-ml/118194396,,Crema besable hot cherry x 30 ml,Por Uniprol,$  25.000  ,,,$  25.000  ,,,
SCHWARZKOPF,https://www.falabella.com.co/falabella-co/product/133157583/Sellador-Renovador-R-Two-Bonacure-Sealer-145ml/133157584,,Sellador Renovador R-Two Bonacure Sealer 145ml,Por Cromantic,$  157.990  ,,,$  157.990  ,Envío gratis,,
SMARTMUSCLE,https://www.falabella.com.co/falabella-co/product/126942362/ATOMIC-Creatina-HCL-5g-600gr-Smart-Muscle-Blueraspberry/126942364,,ATOMIC Creatina HCL 5g 600gr - Smart Muscle Blueraspberry,Por Best Supps ,$  89.900  ,,,$  89.900  ,,,(1)
O BOTICARIO,https://www.falabella.com.co/falabella-co/product/133686234/Perfume-femenino-Egeo-Dolce-oBoticario-100-ml/133686235,,Perfume femenino Egeo Dolce oBoticario 100 ml,Por Districatálogos,$  115.900  ,,$  118.000  ,$  115.900  ,,,
ACID MANTLE,https://www.falabella.com.co/falabella-co/product/127570777/Locion-Corporal-Acid-Mantle-Prob5-Hidratante-X-400ml/127570778,,Locion Corporal Acid-Mantle Prob5 Hidratante X 400ml,Por Locatel Colombia ,$  87.050  ,,,$  87.050  ,,,
BABARIA,https://www.falabella.com.co/falabella-co/product/126946931/Serum-Babaria-Acido-Hialuronico-Ultra-Hidratante-30ml/126946932,,Serum Acido Hialuronico Ultra Hidratante 30ml,Por Mechu2,$  37.900  ,,,$  37.900  ,Llega mañana,,(3)
COLOR,https://www.falabella.com.co/falabella-co/product/142101327/PACK-ICE-GEL-DE-ARNICA-400-GRS/142101328,,PACK ICE GEL DE ARNICA 400 GRS,Por Makaria Belleza ,$  25.000  ,,,$  25.000  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/142102128/Cebo-De-Cordero-100-Puro-60-Gr/142102131,,Cebo De Cordero 100% Puro 60 Gr,Por Encuentralo Aqui ,$  105.000  ,-16%,$  125.000  ,$  105.000  ,,,
BENEFIT,https://www.falabella.com.co/falabella-co/product/prod13620176/Lapiz-para-cejas-Precisely-My-Brow-Detailer-0.02-g/72839304,,Lápiz para cejas Precisely My Brow Detailer 0.02 g,Por Falabella,$  139.990  ,,,$  139.990  ,Llega mañana,Retira mañana,(4)
GENERICO,https://www.falabella.com.co/falabella-co/product/125178166/Cinturon-Para-Cuello-Magnetica-Autocalentable-Soporte/125178167,,Cinturón Para Cuello Magnética Autocalentable Soporte,Por Obatty Store ,$  46.990  ,-53%,$  100.000  ,$  46.990  ,,,
MAYBELLINE,https://www.falabella.com.co/falabella-co/product/prod13530014/Labial-larga-duracion-SuperStay-Vinyl-Ink-acabado-brillante-Maybelline-4.2-ml/71599256?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_Vz6OO7ruVHOM8iCIHjfqb9y-TnB4u7ybprolV5U_sxE_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZUr3oJ-IC8qtV_ZULCMMtI7ma6Xn7EQ1RokHEScgG0Q3Mt2TaZV3FFhBdNpDLQKqceI4U2VmumYv53ILgVLJ-63U2K5fQY0SgUNf_nL8Jx1m4J9-VNZkdHFIy2Ky3L1naw%253D%253D_ark196e4eaa59778f12ff%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Labial larga duración SuperStay Vinyl Ink acabado brillante 4.2 ml,Por Falabella,$  65.820  ,,,$  65.820  ,Llega mañana,Retira mañana,
REMINGTON,https://www.falabella.com.co/falabella-co/product/128334298/Combo-Plancha-Aguacate-Remington-+-Secador-Remington-Aguacate/128334299?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_mjpsJDVXvhYzy-_OaNQvn3imCCNs26Lk2oTLBv_FnNQ_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZXzvZVjnT5sUa70_xiyNTjpPVHgLvewGmG0NUgbvPZE0JRaIZGPT6jFBS0PDPUFcC-a83X7akvyA6KKqbr5VU6aL3_Ljk2DZpTIaDM93FzMc4J9-VNZkdHFIy2Ky3L1naw%253D%253D_ark196e4eaa59778f12ff%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Combo Plancha Aguacate + Secador Aguacate,Por Hometec Store ,$  319.900  ,-33%,,$  329.900  ,Envío gratis,Llega mañana,(19)
KATIVA,https://www.falabella.com.co/falabella-co/product/130411166/Shampoo-Vitamin-E-355ml/130411167?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_AQV3STIXrGdp1wbLtC4OZCVe4VznHTRfPMbRu4cCxU0_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZeyQ1J_9Qw6f_Vxp_kXL6IjtvM6DF8JcPHzyztV_NDLggR8tftFNDpqWstwohIKl4SE8AUAosqbkuR3ZXc_qzQhTC2m3mpNa90_WaXPaXQMatVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/130411167_01/width=240,height=240,quality=70,format=webp,fit=pad",Shampoo Vitamin E 355ml,Por Starbrands Colombia S.a.s ,$  40.300  ,,,$  40.300  ,,,(1)
REMINGTON,https://www.falabella.com.co/falabella-co/product/128334298/Combo-Plancha-Aguacate-Remington-+-Secador-Remington-Aguacate/128334299?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_BW7PqBRrcpXEv4cMnZbGHjUX1cmXw32l2DroCxLi_qA_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZXzvZVjnT5sUa70_xiyNTjouITsr3W9RkrB3PYhuzkhXnZhbLbBOHtmxVZ2Ae1Ycg-a83X7akvyA6KKqbr5VU6aL3_Ljk2DZpTIaDM93FzMctVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253A2%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/128334299_01/width=240,height=240,quality=70,format=webp,fit=pad",Combo Plancha Aguacate + Secador Aguacate,Por Hometec Store ,$  319.900  ,-33%,,$  329.900  ,Envío gratis,Llega mañana,(19)
GENERICO,https://www.falabella.com.co/falabella-co/product/130187842/GORRO-TOALLA-DE-SECADO-PARA-EL-CABELLO-SIN-MALTRATARLO-OMC-469/130187843,"https://media.falabella.com.co/falabellaCO/130187843_01/width=240,height=240,quality=70,format=webp,fit=pad",GORRO TOALLA DE SECADO PARA EL CABELLO SIN MALTRATARLO OMC-469,Por Ok Colombia Sas ,$  16.000  ,-36%,$  25.000  ,$  16.000  ,,,(1)
AFM,https://www.falabella.com.co/falabella-co/product/133612151/Inmovilizador-Sometedor-Amarre-Sexual-Juego-Parejas-Esposas/133612153,"https://media.falabella.com.co/falabellaCO/133612153_01/width=240,height=240,quality=70,format=webp,fit=pad",Inmovilizador Sometedor Amarre Sexual Juego Parejas Esposas,Por Afm Colombia Sas ,$  43.900  ,,,$  43.900  ,,,
LEA,https://www.falabella.com.co/falabella-co/product/133613057/Desodorante-Natural-De-Piedra-Alumbre-LEA/133613058,"https://media.falabella.com.co/falabellaCO/133613058_01/width=240,height=240,quality=70,format=webp,fit=pad",Desodorante Natural De Piedra Alumbre,Por Bespharma,$  29.800  ,,,$  29.800  ,,,(13)
AFM,https://www.falabella.com.co/falabella-co/product/133613321/Amarre-Sexual-Sometedor-Esposas-+-Mordaza-Juego-Erotico-Sex/133613322,"https://media.falabella.com.co/falabellaCO/133613322_01/width=240,height=240,quality=70,format=webp,fit=pad",Amarre Sexual Sometedor Esposas + Mordaza Juego Erótico Sex,Por Afm Colombia Sas ,$  38.000  ,,,$  38.000  ,,,
WAHL,https://www.falabella.com.co/falabella-co/product/137626902/Cortadora-Wahl-Bee-Gentle-Inalambrica-Para-Ninos/137626903?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_mzZGOj-0IoSJBeMPkf_qCXbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZeqeFAAyGO0ofFrO0Lr464aaEdc1jod9coxW6JT-lZCyKifBcd1dWdheWwye5E00JMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUstVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253A7%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://www.falabella.com.co/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/137626903_01/width=240,height=240,quality=70,format=webp,fit=pad",Cortadora Bee Gentle Inalámbrica Para Niños,Por Strong Machine ,$  412.000  ,,,$  412.000  ,Envío gratis,,
BENEFIT,https://www.falabella.com.co/falabella-co/product/29231788/Iluminador-en-polvo-Cookie-Benefit-8-g-/29231788?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_JOkY77Bs5cSWCt6HHU3pkXbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZdqD5fb1f_2axBrU4ktUcEzIZvw5NX6ZNQ-IpArr2BdhVnYjPaBAZnjViT7ETdMqHczt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUstVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253A8%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/29231788_001/width=240,height=240,quality=70,format=webp,fit=pad",Iluminador en polvo Cookie 8 g,Por Falabella,$  179.990  ,,,$  179.990  ,Llega mañana,Retira mañana,(93)
BESPHARMA,https://www.falabella.com.co/falabella-co/product/133613816/COLAGENO-HIDROLIZADO-CON-BIOTINA-BESPHARMA/133613817,,COLAGENO HIDROLIZADO CON BIOTINA,Por Bespharma,$  70.000  ,,,$  70.000  ,,,
OLAPLEX,https://www.falabella.com.co/falabella-co/product/127218743/Kit-Olaplex-3+4+5+7/127218744,,Kit 3+4+5+7,Por Belleza Total. ,$  493.990  ,-15%,$  579.960  ,$  493.990  ,Envío gratis,,
OLAPLEX,https://www.falabella.com.co/falabella-co/product/127218761/Kit-Olaplex-3+6+7+8/127218762,,Kit 3+6+7+8,Por Belleza Total. ,$  492.990  ,-15%,$  579.960  ,$  492.990  ,Envío gratis,,
OLAPLEX,https://www.falabella.com.co/falabella-co/product/127218767/Kit-Olaplex-3+6+8+9/127218768,,Kit 3+6+8+9,Por Belleza Total. ,$  492.990  ,-15%,$  579.960  ,$  492.990  ,Envío gratis,,
SKY,https://www.falabella.com.co/falabella-co/product/139964345/Drill-Pulidor-ORIGINAL-SG702/139964352,,Drill Pulidor ORIGINAL SG702,Por Llevame On Line ,$  139.000  ,-22%,$  179.000  ,$  139.000  ,,,
AFM,https://www.falabella.com.co/falabella-co/product/139966006/Perfumero-Recargable/139966007,,Perfumero Recargable,Por Afm Pets Sas ,$  9.900  ,,,$  9.900  ,Llega mañana,,
GENERICO,https://www.falabella.com.co/falabella-co/product/137122570/Depiladora-Laser-Profesional-IPL-110V-Removedor-Permanente/137122572,,Depiladora Laser Profesional IPL 110V Removedor Permanente,Por Neos Online ,$  119.000  ,-20%,$  149.000  ,$  119.000  ,,,
BIOAQUA,https://www.falabella.com.co/falabella-co/product/139252811/Kit-Suero-Baba-de-caracol-Y-Nicotinamida/139252813,,Kit Suero Baba de caracol Y Nicotinamida,Por Tienda Quuen Cosmetic ,$  30.000  ,,,$  30.000  ,,,
STYLE STARS,https://www.falabella.com.co/falabella-co/product/128791570/Masajeador-Pistola-Calor-O-Frio-Relajacion-Recargable/128791572,,Masajeador Pistola Calor O Frio Relajación Recargable,Por Mptechnology,$  83.500  ,-35%,$  129.000  ,$  83.500  ,Llega mañana,,
OLAPLEX,"https://www.falabella.com.co/falabella-co/product/122244082/Kit-Olaplex-4,-5,-6/122244083",,"Kit # 4, 5, 6",Por Belleza Total. ,$  369.990  ,,$  389.990  ,$  369.990  ,Envío gratis,,(1)
GENERICO,https://www.falabella.com.co/falabella-co/product/135815637/Rizador-Ondas-De-Sirena/135815638,,Rizador Ondas De Sirena,Por 3 Tiendas ,$  55.000  ,,,$  55.000  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/132244319/Media-Miracle-Socks-De-Compresion-Anti-Varices/132244320,,Media Miracle Socks De Compresion Anti Varices,Por 3 Tiendas ,$  22.000  ,-45%,$  40.000  ,$  22.000  ,,,
AFM,https://www.falabella.com.co/falabella-co/product/139966102/Perfumero-Recargable-5-Ml-X3/139966104,,Perfumero Recargable 5 Ml X3,Por Afm Pets Sas ,$  22.900  ,,,$  22.900  ,Llega mañana,,
MEGAPLEX,https://www.falabella.com.co/falabella-co/product/121442211/Bipro-Classic-X-2lb-Sin-Grasa-Sin-azucar-Adicionada-CHOCOLATE/121442212,,Bipro Classic X 2lb - Sin Grasa - Sin azúcar Adicionada CHOCOLATE,Por Cmarket,$  136.700  ,-15%,$  159.900  ,$  136.700  ,,,
INDOOR,https://www.falabella.com.co/falabella-co/product/122354770/TOBILLERA-INDOOR-10KG/122354771,,TOBILLERA 10KG,Por Indoor,$  68.400  ,,,$  68.400  ,,,
REMINGTON,https://www.falabella.com.co/falabella-co/product/122353760/Plancha-De-Cabello-En-Ceramica-Remington-Aguacate-Y-Macadamia-S9960/122353761,,Plancha De Cabello En Ceramica Aguacate Y Macadamia S9960,Por Bet Supplier Sas ,$  199.900  ,-31%,$  289.900  ,$  199.900  ,Envío gratis,,(234)
REMINGTON,https://www.falabella.com.co/falabella-co/product/122355042/Plancha-De-Cabello-En-Ceramica-Remington-Frizz-Control-S8510/122355043,,Plancha De Cabello En Ceramica Frizz Control S8510,Por Bet Supplier Sas ,$  219.900  ,-31%,$  319.900  ,$  219.900  ,Envío gratis,,(19)
GENERICO,https://www.falabella.com.co/falabella-co/product/129521677/Delineador-de-ojos-negro/129521680,,Delineador de ojos negro,Por Bunny Makeup ,$  12.000  ,,,$  12.000  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/140258021/Masajeador-Facial-y-de-Cuello-LED-3-Colores-con-Terapia-Termica/140258022,,Masajeador Facial y de Cuello LED 3 Colores con Terapia Térmica,Por Starcp Tech ,$  44.900  ,-20%,$  55.900  ,$  44.900  ,,,
GENERICO,https://www.falabella.com.co/falabella-co/product/140322077/Bolsa-Termica-Conejito-Blanco-Agua-Caliente-Peluche-1Lt/140322078,,Bolsa Térmica Conejito Blanco Agua Caliente Peluche 1Lt,Por Lx Store Colombia ,$  44.900  ,,,$  44.900  ,,,
VICHY,https://www.falabella.com.co/falabella-co/product/18027014/Serum-Reparador-Vichy-Mineral-89-Fracciones-Probioticas-30ml/18027014?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_v6NZiwl-46z57itgHgSgCXbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2yUHvDgOiPc5rpO_fuwZc8eom1uE51Yd20zbKMPkZxnzszt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUstVQi_fVLtL3q1rOxUTlMzw%253D%253D_ark196e4eb6f7d7833ee9%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,,Sérum Reparador Mineral 89 Fracciones Probióticas 30ml,Por Falabella,$  172.990  ,-25%,$  230.300  ,$  172.990  ,Llega mañana,Retira mañana,(123)
