Título,Título_URL,Imagen,Nombre_Producto,Vendedor,Precio_Actual,Descuento,Precio_Anterior,Precio_Ref,Entrega,Retiro,Vista
MOSCHINO,https://www.falabella.com.co/falabella-co/product/72885486/Perfume-Moschino-Gold-Fresh-Couture-Mujer-100-ml-EDP/72885486,SIN IMAGEN,Perfume Gold Fresh Couture Mujer 100 ml EDP,Por Falabella,219.9,-54%,,239.9,Llega mañana,Retira mañana,134
CLINIQUE,https://www.falabella.com.co/falabella-co/product/prod13840173/Labiales-Black-Honey-+-Pink-Honey-Clinique-Incluye:2-Productos/sku12670028,SIN IMAGEN,Labiales Black Honey + Pink Honey Incluye:2 Productos,Por Falabella,154.99,-29%,219.8,154.99,Retira mañana,SIN INFORMACIÓN,SIN OPINIONES
LATTAFA,https://www.falabella.com.co/falabella-co/product/140269175/Perfume-Asad-Bourbon-Lattafa-100ML/140269176,SIN IMAGEN,Perfume Asad Bourbon 100ML,Por Amber Oud ,209.0,-50%,420.0,209.0,Envío gratis,Llega mañana,SIN OPINIONES
DUCRAY,https://www.falabella.com.co/falabella-co/product/119335317/Champu-Sensinol-Ducray-200Ml./119335318,SIN IMAGEN,Champú Sensinol 200Ml.,Por Percos,135.0,0%,,135.0,Llega mañana,SIN INFORMACIÓN,3
GUESS,https://www.falabella.com.co/falabella-co/product/73262337/Perfume-de-Hombre-Guess-Seductive-for-Men-100-ml-EDT/73262337,SIN IMAGEN,Perfume de Hombre Seductive for Men 100 ml EDT,Por Falabella,149.99,-42%,259.9,149.99,Llega mañana,Retira mañana,SIN OPINIONES
ADIDAS,https://www.falabella.com.co/falabella-co/product/73262184/Perfume-Unisex-Adidas-Vibes-Get-Comfy-Eau-De-Parfum-For-All-100-ml/73262184,SIN IMAGEN,Perfume Unisex Vibes Get Comfy Eau De Parfum For All 100 ml,Por Falabella,189.99,0%,,189.99,Llega mañana,Retira mañana,SIN OPINIONES
GUESS,https://www.falabella.com.co/falabella-co/product/73262342/Perfume-de-Mujer-Guess-Seductive-for-Women-75-ml-EDT/73262342,SIN IMAGEN,Perfume de Mujer Seductive for Women 75 ml EDT,Por Falabella,139.99,-46%,259.9,139.99,Llega mañana,Retira mañana,SIN OPINIONES
LOREAL PROFESSIONNEL,https://www.falabella.com.co/falabella-co/product/17211982/Mascarilla-LOreal-Professionnel-Absolut-Repair-reparacion-cabello-danado-250ml/17211982,SIN IMAGEN,Mascarilla LOréal Professionnel Absolut Repair reparación cabello dañado 250ml,Por Falabella,136.0,0%,,136.0,Llega mañana,Retira mañana,230
LOCCITANE,https://www.falabella.com.co/falabella-co/product/136295227/Perfume-Flor-de-Cerezo-Eau-de-Toilette-75ml-/136295228,SIN IMAGEN,Perfume Flor de Cerezo Eau de Toilette 75ml-,Por Provenzal Sas ,344.0,0%,,344.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
TOCOBO,https://www.falabella.com.co/falabella-co/product/139720625/Protector-solar-en-barra-TOCOBO-Cotton-Soft-Sun-Stick/139720626,SIN IMAGEN,Protector solar en barra Cotton Soft Sun Stick,Por Kalon Skin Bar ,114.9,0%,,114.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
KERASTASE,https://www.falabella.com.co/falabella-co/product/73089919/Aceite-capilar-Kerastaste-Elixir-Ultime-Original-Anti-frizz-75ml/73089919,SIN IMAGEN,Aceite capilar Kerastaste Elixir Ultime Original Anti-frizz 75ml,Por Falabella,240.0,0%,,240.0,Llega mañana,Retira mañana,98
MONTBLANC,https://www.falabella.com.co/falabella-co/product/1398700/Perfume-Hombre-Montblanc-Starwalker-75-ml-EDT/1398700,SIN IMAGEN,Perfume Hombre Starwalker 75 ml EDT,Por Falabella,189.99,-57%,,209.99,Llega mañana,Retira mañana,1070
ESTEE LAUDER,https://www.falabella.com.co/falabella-co/product/8717017/Serum-Suero-Advanced-Night-Repair-Synchronized-Multi-Recovery-Complex-Estee-Lauder-Para-Todo-tipo-de-piel-75-ml-/8717017,SIN IMAGEN,Sérum Suero Advanced Night Repair Synchronized Multi-Recovery Complex  Para Todo tipo de piel 75 ml,Por Falabella,632.9,-21%,803.9,632.9,Llega mañana,Retira mañana,52
MONTBLANC,https://www.falabella.com.co/falabella-co/product/73170258/Perfume-Hombre-Montblanc-STARWALKER-EXTREME-75-ml-EDT-/73170258,SIN IMAGEN,Perfume Hombre STARWALKER EXTREME 75 ml EDT,Por Falabella,209.9,-54%,,239.9,Llega mañana,Retira mañana,SIN OPINIONES
WELLA,https://www.falabella.com.co/falabella-co/product/125378821/Kit-Wella-Fusion-Shampoo-Litro-Mascarilla/125378822,SIN IMAGEN,Kit Fusion Shampoo Litro Mascarilla,Por Belleza Total. ,437.99,13%,505.0,437.99,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
TOCOBO,https://www.falabella.com.co/falabella-co/product/141375768/Tocobo-Cotton-Soft-Sun-Stick-Spf50+-Pa++++/141375769,SIN IMAGEN,Cotton Soft Sun Stick Spf50+ Pa++++,Por Harumi Skincare Coreano ,95.0,0%,,95.0,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
HALLOWEEN,https://www.falabella.com.co/falabella-co/product/67155324/Set-Halloween-Magic-100-ml+30-ml/67155324,SIN IMAGEN,Set Magic 100 ml+30 ml,Por Falabella,199.99,-20%,,209.99,Llega mañana,Retira mañana,162
CLINIQUE,https://www.falabella.com.co/falabella-co/product/73011617/Tratamientos-antiedad-ANTIAGING-SET-SMOOTH-RENEW-Clinique-Incluye:-3-Productos/73011617,SIN IMAGEN,Tratamientos antiedad ANTIAGING SET SMOOTH RENEW Incluye: 3 Productos,Por Falabella,369.9,-35%,565.503,369.9,Llega mañana,Retira mañana,SIN OPINIONES
MAYBELLINE,https://www.falabella.com.co/falabella-co/product/34401386/Pestanina-Sky-High-Mascara-WTP-Maybelline-7.2-ml/34401386?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_zl2Br0qITzOMmy86DnPGr8rsWH4q9kHwW_ntmE6CZ-k_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2zsmoZvc3QL7AK-L17BX0QRb3mRP-5X299VYWqXzlmFMnmiZ3pCbqy08xfi2BfE_eCTnBTgPN0KcMgW1QRY_IqQgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Pestañina Sky High Mascara WTP 7.2 ml,Por Falabella,65.82,0%,,65.82,Llega mañana,Retira mañana,1557
BENEFIT,https://www.falabella.com.co/falabella-co/product/72882279/Tratamiento-nocturno-para-poros-The-Porefessional-Shrink-Wrap/72882279?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_L5kinkR1uB1iCsfGii5PCnbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZUr3oJ-IC8qtV_ZULCMMtI61QcQm7Jn3Srw1elcheKiHD--RQkNu7p5-6MReIyxotMzt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Tratamiento nocturno para poros The Porefessional Shrink Wrap,Por Falabella,161.99,-40%,269.99,161.99,Llega mañana,Retira mañana,599
ABYAT,https://www.falabella.com.co/falabella-co/product/142827792/Perfume-Al-Sayed-Abyat-100ML-+-Perfume-Aceite-20ML/142827793,SIN IMAGEN,Perfume Al Sayed 100ML + Perfume Aceite 20ML,Por Amber Oud ,199.0,-50%,399.0,199.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
LOCCITANE,https://www.falabella.com.co/falabella-co/product/135789252/Serum-Facial-Immortelle-Reset-30ml/135789253,SIN IMAGEN,Sérum Facial Immortelle Reset 30ml,Por Provenzal Sas ,310.0,0%,,310.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
ABYAT,https://www.falabella.com.co/falabella-co/product/142827720/Perfume-Shouq-Abyat-100ML/142827721,SIN IMAGEN,Perfume Shouq 100ML,Por Amber Oud ,176.0,-56%,399.0,176.0,Envío gratis,SIN INFORMACIÓN,SIN OPINIONES
CAROLINA HERRERA,https://www.falabella.com.co/falabella-co/product/73269222/Perfume-de-Hombre-Carolina-Herrera-Bad-Boy-100-ml-Elixir/73269222,SIN IMAGEN,Perfume de Hombre Bad Boy 100 ml Elixir,Por Falabella,715.0,0%,,715.0,Llega mañana,Retira mañana,SIN OPINIONES
ESTEE LAUDER,https://www.falabella.com.co/falabella-co/product/8717016/Serum-Advanced-Night-Repair-Estee-Lauder-para-Todo-tipo-de-piel-50-ml/8717016,SIN IMAGEN,Sérum Advanced Night Repair para Todo tipo de piel 50 ml,Por Falabella,369.99,-35%,569.9,369.99,Llega mañana,Retira mañana,64
DIOR,https://www.falabella.com.co/falabella-co/product/73211169/Capture-Totale-Retishot-Concentrado-de-noche-con-retinol-puro/73211169,SIN IMAGEN,Capture Totale Retishot - Concentrado de noche con retinol puro,Por Falabella,629.99,0%,,629.99,Llega mañana,Retira mañana,SIN OPINIONES
RALPH LAUREN,https://www.falabella.com.co/falabella-co/product/4058799/Perfume-Polo-Ralph-Lauren-Red-Hombre-200-ml-EDT-Polo-Ralph-Lauren/4058799,SIN IMAGEN,Perfume Polo Red Hombre 200 ml EDT Polo,Por Falabella,449.99,-42%,,479.99,Llega mañana,Retira mañana,115
LACOSTE,https://www.falabella.com.co/falabella-co/product/72926580/Perfume-Hombre-Lacoste-125-ml-EDT-/72926580,SIN IMAGEN,Perfume Hombre 125 ml EDT,Por Falabella,259.99,-42%,,279.99,Llega mañana,Retira mañana,23
ANTONIO BANDERAS,https://www.falabella.com.co/falabella-co/product/73264165/Perfume-Banderas-Mujer-The-Icon-Women-Supreme-EDP-100-ml-Eau-de-parfum/73264165,SIN IMAGEN,Perfume Banderas Mujer The Icon Women Supreme EDP 100 ml Eau de parfum,Por Falabella,182.0,0%,,182.0,Llega mañana,Retira mañana,SIN OPINIONES
GUCCI,https://www.falabella.com.co/falabella-co/product/73164568/Perfume-de-Mujer-Gucci-Guilty-Love-Mujer-90-ml-EDP/73164568,SIN IMAGEN,Perfume de Mujer Guilty Love Mujer 90 ml EDP,Por Falabella,759.9,0%,,759.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
VERSACE,https://www.falabella.com.co/falabella-co/product/3941411/Perfume-Mujer-Versace-Bright-Crystal-90-ml-EDT/3941411,SIN IMAGEN,Perfume Mujer Bright Crystal 90 ml EDT,Por Falabella,569.99,0%,,569.99,Llega mañana,Retira mañana,105
ISDIN,https://www.falabella.com.co/falabella-co/product/73259531/Protector-solar-Fotoprotector-Fusion-Water-Magic-By-Alcaraz-Emulsion-Isdin-50-ml/73259531,SIN IMAGEN,Protector solar Fotoprotector Fusion Water Magic By Alcaraz Emulsión 50 ml,Por Falabella,105.99,-25%,141.2,105.99,Llega mañana,Retira mañana,SIN OPINIONES
ESTEE LAUDER,https://www.falabella.com.co/falabella-co/product/72919485/Set-de-Hidratantes-faciales-DayWear-Moisture-Value-Radiance-Routine-Estee-Lauder:-Incluye-2-productos/72919485,SIN IMAGEN,Set de Hidratantes faciales DayWear Moisture Value Radiance Routine Estée Lauder: Incluye 2 productos,Por Falabella,409.9,-39%,675.287,409.9,Retira mañana,SIN INFORMACIÓN,2
LANCOME,https://www.falabella.com.co/falabella-co/product/13355812/Serum-Advanced-Genifique-Lancome-para-Todo-tipo-de-piel-75-ml/13355812,SIN IMAGEN,Sérum Advanced Genifique para Todo tipo de piel 75 ml,Por Falabella,599.9,-40%,999.99,599.9,Llega mañana,Retira mañana,15
CLINIQUE,https://www.falabella.com.co/falabella-co/product/72711916/Set-Tratamiento-De-Manchas-Even-Tone-Essentials-Clinique:-Incluye-3-Productos/72711916,SIN IMAGEN,Set Tratamiento De Manchas Even Tone Essentials Clinique: Incluye 3 Productos,Por Falabella,389.9,12%,442.0,389.9,Llega mañana,Retira mañana,2
GUCCI,https://www.falabella.com.co/falabella-co/product/66523603/Perfume-Gucci-Rush-Edt-75-ml/66523603,SIN IMAGEN,Perfume Rush Edt 75 ml,Por Falabella,299.99,-46%,559.9,299.99,Llega mañana,Retira mañana,51
LATTAFA,https://www.falabella.com.co/falabella-co/product/128762286/Perfume-Khamrah-Lattafa-100ml/128762287,SIN IMAGEN,Perfume Khamrah 100ml,Por Amber Oud ,189.0,-58%,450.0,189.0,Envío gratis,Llega mañana,184
MAISON ALHAMBRA,https://www.falabella.com.co/falabella-co/product/121707999/Perfume-Delilah-Pour-Femme-100ml/121708000,SIN IMAGEN,Perfume Delilah Pour Femme 100ml,Por Amber Oud ,173.0,-48%,335.0,173.0,Envío gratis,Llega mañana,69
LATTAFA,https://www.falabella.com.co/falabella-co/product/123834195/Perfume-Yara-100ml-Lattafa/123834196,SIN IMAGEN,Perfume Yara 100ml,Por Amber Oud ,189.0,-44%,339.0,189.0,Envío gratis,Llega mañana,904
LATTAFA,https://www.falabella.com.co/falabella-co/product/123467405/Perfume-Badee-Al-Oud-Amethyst-100ml/123467406,SIN IMAGEN,Perfume Badee Al Oud Amethyst 100ml,Por Amber Oud ,193.0,-43%,339.0,193.0,Envío gratis,Llega mañana,182
GENERICO,https://www.falabella.com.co/falabella-co/product/134234413/Kit-Homosexul-4Piezas-Dildo-Lubricante-Masajeador-Potenciador/134234414,SIN IMAGEN,Kit Homosexul 4Piezas Dildo Lubricante Masajeador Potenciador,Por Cero Tabuu ,89.9,0%,,89.9,SIN INFORMACIÓN,SIN INFORMACIÓN,SIN OPINIONES
LIFEHUNI,https://www.falabella.com.co/falabella-co/product/124475661/Divi-her-maca-life-lifehuni-suplemento-dietario/124475663,SIN IMAGEN,Divi-her maca life suplemento dietario,Por Tienda Naturista Miel Angelita ,164.9,8%,179.839,164.9,Envío gratis,SIN INFORMACIÓN,22
DYSON,"https://www.falabella.com.co/falabella-co/product/68083029/Multiestilizador-Dyson-Airwrap-6-Accesorios-y-estuche-Alisa,-Seca-y-ondula-/68083029",SIN IMAGEN,"Multiestilizador Airwrap |6 Accesorios y estuche | Alisa, Seca y ondula",Por Falabella,,0%,,,Llega mañana,Retira mañana,7
CERAVE,https://www.falabella.com.co/falabella-co/product/132995754/Gel-Limpiador-Facial-Espumoso-Piel-Normal-a-Grasa-473-ml/132995755,SIN IMAGEN,Gel Limpiador Facial Espumoso Piel Normal a Grasa 473 ml,Por Cromantic,106.99,0%,,106.99,SIN INFORMACIÓN,SIN INFORMACIÓN,1481
SHARK,"https://www.falabella.com.co/falabella-co/product/72780484/Multiestilizador-Shark-Flexstyle-Cabello-Liso-5-accesorios-Seca,-Alisa-y-Ondula-HD430/72780484?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_regZxTQUxaa_9A3VqGzuFh1ziD7GX9eMpoon94-AqZ4_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZRF07WCWpy_ozMoipul7XggyLHkKb2LUV1wOMemGwXVfsDOoXjQiamfL9_9cTHZQc_a-xiRoPsGC_Fz5uZZGu4wr9f6WyBOF-EMdFPjrzEpygTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D",SIN IMAGEN,"Multiestilizador Flexstyle Cabello Liso | 5 accesorios | Seca, Alisa y Ondula | HD430",Por Falabella,999.9,-23%,,999.9,Llega mañana,Retira mañana,30
LA ROCHE POSAY,https://www.falabella.com.co/falabella-co/product/12504251/Hidratante-Facial-Matificante-La-Roche-Posay-Effaclar-Mat-40Ml/12504251?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_d6V6lyKs12guYP_MXl_OLHbI9940u9KsAajgOnRVLrY_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2x5B-S7QXiJ6aF1uDzMotyOpKm15ZhJoYyroh2CQJTcfszt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsgTg6GVwJOLekkjcmMsQlJQ%253D%253D_ark196e4d5ce46750b845%2522%252C%2522slot%2522%253Anull%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,SIN IMAGEN,Hidratante Facial Matificante Effaclar Mat 40Ml,Por Falabella,120.99,-25%,160.95,120.99,Llega mañana,Retira mañana,703
LA ROCHE POSAY,https://www.falabella.com.co/falabella-co/product/12504251/Hidratante-Facial-Matificante-La-Roche-Posay-Effaclar-Mat-40Ml/12504251?sponsoredClickData=%257B%2522isXLP%2522%253Atrue%252C%2522pageType%2522%253A%2522category%2522%252C%2522adType%2522%253A%2522products%2522%252C%2522platform%2522%253A%2522desktop%2522%252C%2522regionCode%2522%253A%2522co%2522%252C%2522context%2522%253A%257B%2522userIdentifier%2522%253A%2522MTc0NzU5NzAxOTMxNw%253D%253D%2522%252C%2522adIdentifier%2522%253A%2522v2_0fUGYwfVAcbLTaYRGjE_v058cXMmwNlUmvj7nUKQy6k_zQHH8xxra1tRhtFtpDBz0kwSGIFuwZotnTbGEz-gZbPoT5j6okJxCMaT_RAWn2xz4Wna3F9OAAJ-w5IhXQX-sJ-GEg4YUeyKDziBxIx9pczt1z0SnYOuLHg1ct1MRwAYH-q4rSO-Isng6mn1qRUsdbDznqyBwm5grIR_05WfXQ%253D%253D_ark196e4e72393786cb17%2522%252C%2522slot%2522%253A1%252C%2522signal%2522%253A%2522Belleza--higiene-y-salud%2522%257D%257D,"https://media.falabella.com.co/falabellaCO/12504251_1/width=240,height=240,quality=70,format=webp,fit=pad",Hidratante Facial Matificante Effaclar Mat 40Ml,Por Falabella,120.99,-25%,160.95,120.99,Llega mañana,Retira mañana,703
